Course Name,Instructor Name,Overall Course Rating,Instructor Rating,Course Difficulty,Usefulness of Material,Engagement Level,Workload,Comments/Feedback,Would Recommend,Preferred Learning Style,Improvement Suggestions,Sentiment,Processed_Feedback,Topic,Summary,Recommendation
Advanced Medical Device Software Engineering,"Ghobreal, Bemin",1,4,2,2,4,Low,the instructor was engaging but the course material could be simplified,No,Online,Consider adding guest lectures from industry professionals.,Neutral,"['instructor', 'engaging', 'course', 'material', 'could', 'simplified']",0,"- The instructor was engaging and effective in teaching
- The course material was seen as complex and could be simplified for better understanding",No specific recommendation.
Advanced Business Process Engineering,"Graham, Nichole",4,5,4,3,1,Low,detailed course but the instructor should provide more resources,Yes,Lecture,Provide sample solutions for complex problems.,Neutral,"['detailed', 'course', 'instructor', 'provide', 'resources']",0,"- The course was detailed
- The instructor should provide more resources 
- More resources will enhance the learning experience.",No specific recommendation.
Advanced Business Process Engineering,"Sabbouh, Marwan",3,4,5,1,4,Moderate,great introduction to complex topics but felt rushed,Yes,Hands-on,Add more hands-on assignments to reinforce learning.,Mixed sentiment,"['great', 'introduction', 'complex', 'topics', 'felt', 'rushed']",0,The feedback praises the introduction to complex topics but mentions that it felt rushed.,No specific recommendation.
Advances in Data Sciences and Architecture,"Sabbouh, Marwan",3,2,5,2,1,High,the instructors support made a huge difference,Yes,Lecture,Incorporate more practical exercises during lectures.,Positive sentiment,"['instructors', 'support', 'made', 'huge', 'difference']",2,"- The instructors were extremely supportive
- Their support had a significant impact
- The instructors' support made a huge difference in the situation",No specific recommendation.
Application Modeling and Design,"Shi, Shiaoming",4,1,5,5,4,Low,engaging lectures but assignments were a bit complex,No,Online,Incorporate more practical exercises during lectures.,Positive,"['engaging', 'lectures', 'assignments', 'bit', 'complex']",0,"-The lectures were engaging and held the student's attention. 
-The assignments were deemed to be complex by the student.",No specific recommendation.
Advances in Data Sciences and Architecture,"Fannin, David",4,3,3,5,2,Low,engaging course though challenging at times,No,Lecture,Include weekly quizzes to track progress.,Positive,"['engaging', 'course', 'though', 'challenging', 'times']",1,"- The course is engaging 
- It can be challenging at times",No specific recommendation.
Advanced Business Process Engineering,"Shi, Shiaoming",4,1,4,5,1,High,instructor provided good feedback which was very helpful,Yes,Online,Add office hours for better support.,Positive sentiment,"['instructor', 'provided', 'good', 'feedback', 'helpful']",2,"1. The instructor provided good feedback.
2. The feedback was very helpful.",No specific recommendation.
Advances in Data Sciences and Architecture,"Lelashvili, Archil",4,1,1,4,5,Low,this course exceeded my expectations and i learned a lot,No,Lecture,Provide sample solutions for complex problems.,Positive,"['course', 'exceeded', 'expectations', 'learned', 'lot']",1,"- The course exceeded expectations
- Learned a lot from the course",No specific recommendation.
Advanced Big-Data Applications and Indexing Techniques,"Shi, Shiaoming",5,2,1,3,5,High,engaging course though challenging at times,No,Lecture,Add office hours for better support.,Positive sentiment,"['engaging', 'course', 'though', 'challenging', 'times']",1,"- The course is engaging
- The material is challenging at times",No specific recommendation.
Advanced User Experience Research,"Padmanabhan, Neeresh",3,4,1,4,3,High,engaging course though challenging at times,Yes,Hands-on,Increase class duration to cover topics thoroughly.,Positive,"['engaging', 'course', 'though', 'challenging', 'times']",1,"-The course is engaging and interesting 
-There are challenging aspects to the course",No specific recommendation.
Accounting and Budgetary Systems for Engineers,"Padmanabhan, Neeresh",2,3,5,1,3,Low,course provided new insights into the industry standards,No,Hands-on,Add more visual aids and diagrams for explanations.,Positive,"['course', 'provided', 'new', 'insights', 'industry', 'standards']",1,"- The course offered new insights into industry standards
- The information was valuable and useful for understanding the industry better",No specific recommendation.
Advanced Medical Device Software Engineering,"Sabbouh, Marwan",5,2,2,1,3,High,interesting topics though some parts felt repetitive,Yes,Lecture,Provide additional resources for self-study.,Neutral,"['interesting', 'topics', 'though', 'parts', 'felt', 'repetitive']",2,"The reader found the topics covered to be interesting, but felt that certain sections were repetitive.",No specific recommendation.
